Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2001_4,145.69,149.26,165.49,145.74,137.66,228.71,129.32,127.88,146.93,154.17,158.11,102.49,158.23,154.88,146.94,163.12,162.29,156.18,160.96,137.52,130.5,176.73,180.45,188.87,145.36,155.49,188.94,166.14,137.76,158.54,144.82,150.49,141.57,149.12,146.96,153.07,148.41,192.1,129.13,135.24,149.78,169.68,150.72,147.67,196.7,131.07,141.87,161.11,142.45,167.86,178.61
2002_1,145.73,149.57,166.7,146.93,142.18,232.42,132.49,129.19,151.12,157.94,160.41,103.28,158.54,157.59,147.41,163.85,162.95,156.85,162.21,144.33,133.45,181.87,182.21,192.85,145.94,158.51,192.94,168.27,140.33,162.95,149.12,152.48,145.56,150.71,147.22,154.88,150.53,194.88,131.61,140.32,152.07,169.14,151.68,148.81,197.65,134.57,145.43,163.59,144.69,170,182.92
2002_2,146.94,152.57,169.38,149.2,148.4,233.27,136.75,132.84,157.87,162.75,161.06,107.84,160.72,160.17,147.92,165.58,164.15,158.64,163.64,147.5,137.78,188.49,183.99,197.78,145.81,160.21,193.79,169.5,142.21,168.05,154.1,155.58,149.44,151.59,149.89,155.32,151.04,197.81,134.19,147.62,152.21,172.6,152.16,150.39,197.76,137.46,149.05,165.68,145.59,172.65,185.64
2002_3,147.57,156.29,172.08,150.38,155.2,235.78,140.63,137.08,162.35,167.17,162.92,111.81,162.09,162.78,148.63,167.58,165.78,159.03,164.9,152.43,143.21,195.74,185.14,202.33,148.74,162.11,198.6,171,145.72,175.44,160.29,157.14,154,153,152.4,157.14,152.21,200.81,137.01,155.39,153.46,172.11,154.33,151.25,198.78,140.34,152.84,166.89,146.6,175.5,188.31
2002_4,148.85,157.72,175.88,152.17,161.24,237.89,145.35,139.23,168.59,172.34,165.18,114.56,164,165.83,149.06,169.49,167.37,161.81,167.55,157,147.8,201.5,187.41,206.49,149.15,164.38,202.32,173.22,149.5,181.42,166.32,159.04,158.17,154.41,156.22,158.79,154.7,203.75,140.78,163.18,155.65,174.94,154.67,152.57,201.9,141.75,156.37,170.41,149.43,177.96,191.98
2003_1,150.49,161.03,179.41,154.35,167.29,238.68,148.8,143.72,177.5,178.02,167.07,117.78,166.91,168.37,150.98,171.05,169.34,163.27,168.48,160.68,151.83,205.44,188.82,210.96,149.96,166.1,205.06,175.15,153.27,185.94,171.91,160.82,164.41,155.69,158.08,160.09,155.26,207.62,143.47,169.07,155.41,176.15,156.83,153.31,200.87,145.58,160.25,172.33,151.43,181.71,191.89
2003_2,151.21,163.27,182.27,156.22,173.23,239.12,151.3,147.37,182.01,183.01,167.71,120.76,167.67,171.42,151.14,172.08,169.65,165.21,171.04,164.32,157.37,210.02,189.43,214.5,151.16,168.78,211.39,176.4,157.08,190.79,176.96,162.44,166.84,156.58,159.53,161.46,157.02,211.68,146.34,175.77,157.82,178.78,158.29,153.9,203.78,147.22,164.77,174.9,153.8,184.55,199.25
2003_3,152.69,165.62,186.05,159.12,180.35,240.55,155.14,150.01,189.25,188.75,169.29,129.74,171.37,174.22,151.69,173.93,172.86,167.47,172.8,167.37,163.87,213.92,191.78,218.18,152.03,171.29,216.68,177.87,164.22,194.77,182.71,164.93,171.01,157.71,161.93,162.75,158.91,214.58,149.99,182.19,159.33,182.88,159.78,154.84,205.45,151.28,169.49,178.51,153.91,187.84,204.15
2003_4,153.57,171.27,192.41,160.76,190.88,242.42,159.1,155,194.36,196.22,170.08,138.09,173.52,177.77,152.35,175.12,174.24,168.74,174.54,175.27,168.59,221.86,193.22,223.68,153.26,173.54,219.44,179.62,174.14,199.58,188.57,167.71,175.36,159.08,164.01,164.24,160.3,220.06,152.37,190.5,160.24,184.7,162.31,155.8,205.87,156.57,175.16,182.79,155.86,191.11,207.11
2004_1,156.07,175.51,198.36,164.36,200.88,244.64,162.95,160.59,201.98,204.05,171.76,142.41,176.6,180.32,153.11,177.22,176.08,172.29,176.51,176.57,174.59,226.59,194.82,226.98,154.89,176.83,224.06,182.04,186.33,204.84,194.75,170.8,179.69,160.63,166.45,165.72,162.04,225.6,156.57,198.75,163.29,186.14,163.28,157.07,209.64,159.27,180.51,188.14,159.51,194.54,213.87
